ccaa;hombres;mujeres;total;00-10;11-20;21-30;31-40;41-50;51-60;61-70;71-80;81-85;100
andalucia;4183350.0;4294734.0;8478083.0;922784.0;952001.0;935807.0;1164237.0;1380596.0;1245749.0;885893.0;618426.0;406785.0;175182.0
aragon;656665.0;673668.0;1330334.0;131315.0;131355.0;130828.0;169013.0;214453.0;196684.0;152415.0;112380.0;100133.0;49626.0
asturias;487029.0;531871.0;1018899.0;76952.0;80535.0;80267.0;120698.0;167814.0;163273.0;146322.0;102174.0;88462.0;42944.0
canarias;1108502.0;1128489.0;2236993.0;196074.0;230444.0;260900.0;328535.0;398849.0;348506.0;233740.0;153152.0;95089.0;40246.0
cantabria;283850.0;298537.0;582388.0;52638.0;55331.0;50660.0;73797.0;97207.0;89757.0;75174.0;49474.0;41815.0;20377.0
castilla y leon;1185166.0;1216142.0;2401306.0;199228.0;209227.0;214250.0;279426.0;367854.0;381519.0;309740.0;233034.0;225445.0;113760.0
castilla-la mancha;1026761.0;1018794.0;2045553.0;214686.0;219897.0;219318.0;273659.0;329494.0;303307.0;209143.0;149223.0;137981.0;66773.0
catalunya;3743163.0;3909185.0;7652348.0;824838.0;823511.0;827187.0;1020447.0;1273646.0;1057531.0;813743.0;593186.0;455801.0;214227.0
extremadura;526936.0;535043.0;1061979.0;100349.0;107352.0;115171.0;135504.0;160024.0;167508.0;119764.0;87406.0;75396.0;34626.0
galicia;1304148.0;1398445.0;2702592.0;223758.0;226735.0;235814.0;338051.0;443476.0;402320.0;341926.0;274685.0;236401.0;111056.0
islas baleares;605863.0;604862.0;1210725.0;126075.0;122661.0;142885.0;192583.0;211951.0;168490.0;118892.0;80256.0;51096.0;22994.0
la rioja;155646.0;160285.0;315931.0;32087.0;31908.0;30074.0;40049.0;51772.0;46756.0;36248.0;26499.0;22470.0;11106.0
comunidad de madrid;3233882.0;3513186.0;6747068.0;732503.0;701953.0;743092.0;950964.0;1154626.0;948416.0;682764.0;493936.0;368960.0;174655.0
murcia;752917.0;751953.0;1504869.0;180597.0;177656.0;173717.0;211739.0;249958.0;208324.0;141460.0;97546.0;69826.0;29766.0
navarra;324430.0;332079.0;656509.0;71817.0;70927.0;67339.0;82412.0;106947.0;94381.0;71843.0;52783.0;41376.0;20250.0
navarra;324430.0;332079.0;656509.0;71817.0;70927.0;67339.0;82412.0;106947.0;94381.0;71843.0;52783.0;41376.0;20250.0
pais vasco;1059050.0;1130089.0;2189138.0;215034.0;212323.0;195658.0;258215.0;354678.0;334620.0;272165.0;200893.0;159181.0;75098.0
comunidad valenciana;2476925.0;2552416.0;5029341.0;513920.0;531024.0;512954.0;659077.0;840911.0;737112.0;563509.0;413388.0;281181.0;123275.0
ceuta;42528.0;41557.0;84085.0;11807.0;11559.0;10985.0;11798.0;12415.0;11456.0;7446.0;4165.0;2675.0;1146.0
melilla;42506.0;41967.0;84473.0;15004.0;11924.0;11600.0;11295.0;10937.0;10757.0;7162.0;3578.0;2413.0;1002.0
total nacional;2.3199313E7;2.4133301E7;4.7332614E7;4841446.0;4908317.0;4958498.0;6321493.0;7827612.0;6916478.0;5189341.0;3746198.0;2862491.0;1328113.0
